asset_id,asset_name,purchase_date,purchase_price,status,warranty_expiry,category_id,vendor_id,assigned_to
A001,Dell Latitude 5540,2023-01-15,1250.00,Active,2026-01-15,AC001,V001,E003
A002,Dell Latitude 5540,2023-01-15,1250.00,Active,2026-01-15,AC001,V001,E004
A003,Cisco Catalyst 9200,2022-09-20,4800.00,Active,2025-09-20,AC004,V004,E002
A004,HP LaserJet Pro,2021-11-10,620.00,Decommissioned,2024-11-10,AC007,V008,
A005,Lenovo ThinkPad X1,2023-03-01,1480.00,Active,2026-03-01,AC001,V005,E006
A006,Dell PowerEdge R750,2022-05-18,9200.00,Active,2025-05-18,AC003,V001,E001
A007,Fortinet FortiGate 60F,2023-02-14,2100.00,Active,2026-02-14,AC005,V009,E002
A008,Lenovo ThinkPad X1,2023-04-22,1480.00,Active,2026-04-22,AC001,V005,E009
A009,Dell Latitude 5540,2022-10-05,1200.00,Under Repair,2025-10-05,AC001,V001,E005
A010,Cisco IP Phone 8841,2021-08-30,380.00,Active,2024-08-30,AC006,V004,E014
A011,HP ProDesk 600,2022-03-17,780.00,Active,2025-03-17,AC002,V008,E010
A012,Dell Latitude 5540,2023-06-01,1250.00,Active,2026-06-01,AC001,V001,E011
A013,CDW Docking Station,2023-01-15,180.00,Active,2026-01-15,AC009,V002,E003
A014,Cisco Catalyst 9200,2023-07-10,4800.00,Active,2026-07-10,AC004,V004,E011
A015,Dell PowerEdge R750,2023-08-01,9200.00,Active,2026-08-01,AC003,V001,E009
A016,Lenovo ThinkPad X1,2022-11-28,1400.00,Active,2025-11-28,AC001,V005,E012
A017,Fortinet FortiGate 60F,2023-02-14,2100.00,Active,2026-02-14,AC005,V009,E015
A018,CDW Monitor 27in,2023-03-01,420.00,Active,2026-03-01,AC008,V002,E006
A019,HP LaserJet Pro,2023-05-10,640.00,Active,2026-05-10,AC007,V008,
A020,Dell Latitude 5540,2023-09-15,1250.00,Active,2026-09-15,AC001,V001,E013
A021,Cisco IP Phone 8841,2022-06-01,380.00,Active,2025-06-01,AC006,V004,E008
A022,CDW Docking Station,2023-02-01,180.00,Active,2026-02-01,AC009,V002,E004
A023,Dell Latitude 5540,2022-08-20,1200.00,Active,2025-08-20,AC001,V001,E015
A024,HP ProDesk 600,2021-10-05,780.00,Under Repair,2024-10-05,AC002,V008,E007
A025,Lenovo ThinkPad X1,2022-12-10,1400.00,Active,2025-12-10,AC001,V005,E001
A026,Dell Latitude 5540,2023-11-01,1250.00,Active,2026-11-01,AC001,V001,E016
A027,CDW Monitor 27in,2023-11-01,420.00,Active,2026-11-01,AC008,V002,E016
A028,Cisco IP Phone 8841,2022-01-15,380.00,Active,2025-01-15,AC006,V004,E010
A029,Dell Latitude 5540,2024-01-10,1250.00,Active,2027-01-10,AC001,V001,E017
A030,HP ProDesk 600,2022-07-20,780.00,Active,2025-07-20,AC002,V008,E019
