assignment_id,license_id,employee_id,assigned_date
LA001,L001,E001,2023-06-01
LA002,L001,E002,2023-06-01
LA003,L001,E003,2023-06-01
LA004,L001,E004,2023-06-01
LA005,L001,E005,2023-06-01
LA006,L001,E006,2023-06-01
LA007,L001,E007,2023-06-01
LA008,L001,E008,2023-06-01
LA009,L001,E009,2023-06-01
LA010,L001,E010,2023-06-01
LA011,L002,E006,2022-08-01
LA012,L002,E012,2022-08-01
LA013,L002,E018,2022-08-01
LA014,L003,E001,2023-07-01
LA015,L003,E002,2023-07-01
LA016,L003,E005,2023-07-01
LA017,L003,E007,2023-07-01
LA018,L003,E009,2023-07-01
LA019,L004,E002,2022-04-01
LA020,L004,E007,2022-04-01
LA021,L005,E003,2023-06-01
LA022,L005,E008,2023-06-01
LA023,L005,E014,2023-06-01
LA024,L006,E003,2022-08-01
LA025,L006,E006,2022-08-01
LA026,L006,E012,2022-08-01
LA027,L007,E001,2023-06-01
LA028,L007,E007,2023-06-01
LA029,L008,E001,2022-09-01
LA030,L008,E002,2022-09-01
LA031,L009,E015,2023-02-01
LA032,L009,E007,2023-02-01
LA033,L010,E002,2022-04-01
LA034,L001,E011,2023-06-15
LA035,L001,E013,2023-09-15
